name,parseDate,price,url
Нимесил 2 гр № 30 пакетики,2023-03-27,4 614,https://europharma.kz/nimesil-2-gr-no-30-paketiki
Броцевин  сироп 150 мл,2023-03-27,4 506,https://europharma.kz/brocevin-sirop-150-ml
"Дротаверина г/х 0,04 мг № 10 табл",2023-03-27,86,https://europharma.kz/drotaverina-gkh-004-mg-no-10-tabl
Сертозин раствор д/инъекций 1000 мг/4 мл № 5 амп,2023-03-27,12 283,https://europharma.kz/sertozin-rastvor-dinyektsiy-1000-mg4-ml-no-5-amp
Фестал Н № 20 табл,2023-03-27,802,https://europharma.kz/festal-n-no-20-tabl
Аджисепт со вкусом апельсина № 24 леденцы,2023-03-27,1 043,https://europharma.kz/adzhisept-so-vkusom-apelsina-no-24-ledentsy
Назоферон 100000 МЕ/мл 5 мл спрей назальный,2023-03-27,3 398,https://europharma.kz/nazoferon-100000-meml-5-ml-sprey-nazalnyy
Пан 40 мг № 20 табл покрытые оболочкой,2023-03-27,2 066,https://europharma.kz/pan-40-mg-no-20-tabl-pokrytyye-obolochkoy
Метронидазол 250 мг № 30 табл,2023-03-27,451,https://europharma.kz/metronidazol-250-mg-no-30-tabl
"Тригрим 2,5 мг № 30 табл.",2023-03-27,1 779,https://europharma.kz/trigrim-25-mg-no-30-tabl
"Карвидил 25 мг, № 28, табл.",2023-03-27,5 268,https://europharma.kz/karvidil-25-mg-no-28-tabl
Аргентокеа Мята 25 мл спрей для горла,2023-03-27,3 607,https://europharma.kz/argentokea-myata-25-ml-sprey-dlya-gorla
Трибестан 250 мг № 60 табл п/плён оболоч,2023-03-27,10 680,https://europharma.kz/tribestan-250-mg-no-60-tabl-pplen-oboloch
Линкас Лор № 16 табл.д/рассасыв-я мята,2023-03-27,586,https://europharma.kz/linkas-lor-no-16-tabldrassasyv-ya-myata
Левояпс 5мг/мл 5 мл  капли глазные и ушные,2023-03-27,2 509,https://europharma.kz/levoyaps-5mgml-5-ml-kapli-glaznyye-i-ushnyye
Тригрим 5 мг № 30 табл.,2023-03-27,3 194,https://europharma.kz/trigrim-5-mg-no-30-tabl
Сиспрес 500 мг № 10 табл п/плён оболоч,2023-03-27,1 285,https://europharma.kz/sispres-500-mg-no-10-tabl-pplen-oboloch
Экзодерил 10 мл раствор,2023-03-27,4 141,https://europharma.kz/ekzoderil-10-ml-rastvor
Линкас Лор № 16 табл.д/рассасыв-я мёд-лимон,2023-03-27,569,https://europharma.kz/linkas-lor-no-16-tabldrassasyv-ya-med-limon
"Пиколакс 7,5  мг № 10 табл",2023-03-27,1 672,https://europharma.kz/pikolaks-75-mg-no-10-tabl
Капсикам д/наруж применения 30 гр мазь,2023-03-27,3 023,https://europharma.kz/kapsikam-dnaruzh-primeneniya-30-gr-maz
Индометацин-Софарма 25 мг № 30 табл,2023-03-27,342,https://europharma.kz/indometatsin-sofarma-25-mg-no-30-tabl
